step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
97,9538,194,0.08091999433995929,0.5,0.8333333333333334,0.045842318784398234,0.5,0.9166666666666666
98,9588,196,0.05447917279709751,0.5,0.9166666666666666,,,
99,9686,198,0.045535087862739,0.0,0.8333333333333334,,,
100,9768,200,0.08202342309409869,0.0,0.8333333333333334,,,
101,9850,202,0.07180885775888238,0.0,0.8333333333333334,,,
102,10012,204,0.04069412090874539,0.0,0.8333333333333334,,,
103,10110,206,0.05534231468573125,0.0,0.8333333333333334,,,
104,10176,208,0.05235083620728688,0.5,0.9166666666666666,,,
105,10274,210,0.07029789589909341,0.0,0.8333333333333334,0.052201497364858365,0.0,0.8333333333333334
106,10340,212,0.06153699726462491,0.0,0.8333333333333334,,,
107,10406,214,0.04524814875645007,0.0,0.8333333333333334,,,
108,10488,216,0.11084268340196286,0.0,0.8333333333333334,,,
109,10714,218,0.03213302768247299,0.5,0.9166666666666666,,,
110,10812,220,0.054762182706581376,0.5,0.9166666666666666,,,
111,10878,222,0.05851381561652943,0.5,0.9166666666666666,,,
112,10976,224,0.09650051448592423,0.5,0.8333333333333334,,,
113,11170,226,0.019521076389020592,0.5,0.9166666666666666,0.055789813855677495,0.5,0.9166666666666666
114,11252,228,0.102262194090923,0.0,0.75,,,
115,11318,230,0.14572634655834918,0.0,0.6666666666666666,,,
116,11416,232,0.053482216629514974,0.5,0.8333333333333334,,,
117,11498,234,0.04556754925672431,1.0,1.0,,,
118,11564,236,0.054587387445581045,1.0,1.0,,,
119,11662,238,0.050940460457932206,0.0,0.8333333333333334,,,
120,11760,240,0.04634287521388616,0.5,0.9166666666666666,,,
121,11826,242,0.06998765475149413,0.0,0.8333333333333334,0.09367510039091576,0.5,0.8333333333333334
122,11940,244,0.048659191606711824,0.5,0.9166666666666666,,,
123,12006,246,0.05659380893536764,0.5,0.9166666666666666,,,
124,12072,248,0.12339338511401367,0.0,0.75,,,
125,12250,250,0.046983542114983054,0.0,0.75,,,
126,12332,252,0.08321651425697929,0.0,0.75,,,
127,12430,254,0.04290403123667602,0.5,0.9166666666666666,,,
128,12512,256,0.05540959650947843,0.5,0.9166666666666666,,,
129,12578,258,0.05910359185583729,0.0,0.8333333333333334,0.05733978527679938,0.0,0.8333333333333334
130,12644,260,0.06119777867144876,0.0,0.8333333333333334,,,
131,12694,262,0.07477087882315271,0.0,0.8333333333333334,,,
132,12776,264,0.06624642987188419,0.0,0.8333333333333334,,,
133,12874,266,0.05561885262360496,0.0,0.8333333333333334,,,
134,13036,268,0.0388847414184529,0.5,0.9166666666666666,,,
135,13118,270,0.060532442533705766,0.5,0.9166666666666666,,,
136,13200,272,0.06211469099642273,0.5,0.8333333333333334,,,
137,13298,274,0.05224414808173606,0.5,0.9166666666666666,0.03552930993698055,1.0,1.0
138,13412,276,0.06169741420524327,0.5,0.8333333333333334,,,
139,13462,278,0.08749675296444669,0.0,0.8333333333333334,,,
140,13592,280,0.03889782463862958,1.0,1.0,,,
141,13770,282,0.033930777426549784,0.5,0.9166666666666666,,,
142,13884,284,0.05870794436552388,0.0,0.8333333333333334,,,
143,13998,286,0.05606259311136974,0.0,0.8333333333333334,,,
144,14080,288,0.07898598110627063,0.0,0.8333333333333334,,,
145,14178,290,0.03933495205374433,0.5,0.9166666666666666,0.0596495575688247,0.0,0.8333333333333334
146,14244,292,0.08265242634059179,0.0,0.8333333333333334,,,
147,14358,294,0.054347093812869264,0.0,0.8333333333333334,,,
148,14424,296,0.051803165739424915,0.5,0.9166666666666666,,,
149,14522,298,0.04037827179667981,0.5,0.9166666666666666,,,
150,14668,300,0.02879118077359332,1.0,1.0,,,
151,14734,302,0.03282338651173404,1.0,1.0,,,
152,14800,304,0.04273438481920266,0.5,0.9166666666666666,,,
153,14882,306,0.03464582333172075,1.0,1.0,0.13373518507364862,0.0,0.75
154,14964,308,0.02885886465024669,1.0,1.0,,,
155,15046,310,0.16012172911710149,0.0,0.75,,,
156,15128,312,0.0821948489736933,0.5,0.9166666666666666,,,
157,15210,314,0.03548534811905847,1.0,1.0,,,
158,15292,316,0.07524892587176873,0.0,0.75,,,
159,15406,318,0.04283063647337258,0.5,0.9166666666666666,,,
160,15504,320,0.04173349640370361,0.5,0.9166666666666666,,,
161,15618,322,0.03776115892551647,1.0,1.0,0.07532262277432891,0.0,0.75
162,15700,324,0.10570145213388607,0.5,0.8333333333333334,,,
163,15798,326,0.04676924527867717,0.5,0.9166666666666666,,,
164,15896,328,0.04200345711681924,0.5,0.9166666666666666,,,
165,15994,330,0.03802604962152449,0.5,0.9166666666666666,,,
166,16076,332,0.056042261013848474,0.0,0.8333333333333334,,,
167,16158,334,0.04031146419268043,1.0,1.0,,,
168,16240,336,0.049937948396240245,0.5,0.9166666666666666,,,
169,16306,338,0.05615167907619252,0.0,0.8333333333333334,0.04375853336942479,0.5,0.9166666666666666
170,16388,340,0.03853864597254142,0.5,0.9166666666666666,,,
171,16502,342,0.03986040103151546,1.0,1.0,,,
172,16616,344,0.092445819708685,0.0,0.6666666666666666,,,
173,16714,346,0.07702076830462223,0.5,0.8333333333333334,,,
174,16812,348,0.026040935957656376,1.0,1.0,,,
175,16942,350,0.03407161554632694,1.0,1.0,,,
176,17008,352,0.059366253714251804,0.5,0.8333333333333334,,,
177,17122,354,0.04021541071208049,0.5,0.8333333333333334,0.04693635630967947,1.0,1.0
178,17188,356,0.152165887542933,0.5,0.9166666666666666,,,
179,17270,358,0.05891901088389569,0.5,0.9166666666666666,,,
180,17368,360,0.05722631998272846,0.5,0.8333333333333334,,,
181,17450,362,0.0621883948800387,0.5,0.8333333333333334,,,
182,17596,364,0.03297413323346215,1.0,1.0,,,
183,17662,366,0.08348285348034551,0.0,0.6666666666666666,,,
184,17760,368,0.04511941989117987,0.0,0.8333333333333334,,,
185,17874,370,0.045021637832251146,0.5,0.9166666666666666,0.0697319638058616,0.5,0.9166666666666666
186,17940,372,0.06333398324448353,0.0,0.8333333333333334,,,
187,18102,374,0.028464033236938125,0.5,0.8333333333333334,,,
188,18216,376,0.044750158396366584,0.0,0.8333333333333334,,,
189,18346,378,0.04788564094958019,1.0,1.0,,,
190,18428,380,0.04553610239618865,1.0,1.0,,,
191,18542,382,0.03202050028606858,1.0,1.0,,,
192,18672,384,0.0380540487351891,1.0,1.0,,,
193,18738,386,0.046456658654337846,1.0,1.0,0.04082287036727523,1.0,1.0
194,18804,388,0.06468935656997246,0.5,0.9166666666666666,,,
195,18902,390,0.042873993516003184,0.5,0.9166666666666666,,,
196,19016,392,0.04203381479736241,1.0,1.0,,,
197,19114,394,0.040013751164236354,1.0,1.0,,,
198,19212,396,0.0903910162893385,0.5,0.8333333333333334,,,
199,19294,398,0.052450697746844535,0.5,0.9166666666666666,,,
200,19440,400,0.025889109363487126,1.0,1.0,,,
201,19570,402,0.06640903140277374,0.0,0.75,0.04445510355519673,0.5,0.9166666666666666
202,19652,404,0.05651949774155537,0.5,0.9166666666666666,,,
203,19750,406,0.09509137162688452,0.0,0.6666666666666666,,,
204,19816,408,0.07155479523820986,0.5,0.8333333333333334,,,
205,19882,410,0.12605645043976324,0.0,0.75,,,
206,19964,412,0.08918130512677909,0.0,0.75,,,
207,20062,414,0.03231158710870204,0.5,0.9166666666666666,,,
208,20160,416,0.047837347787794894,1.0,1.0,,,
209,20354,418,0.033005314708436796,0.5,0.8333333333333334,0.04899007556699872,0.5,0.9166666666666666
210,20532,420,0.039823159346825295,0.0,0.6666666666666666,,,
211,20614,422,0.05247940911835576,0.0,0.8333333333333334,,,
212,20696,424,0.060966389947758215,0.5,0.9166666666666666,,,
213,20842,426,0.029642744507647072,1.0,1.0,,,
214,20908,428,0.0675062136281622,0.5,0.9166666666666666,,,
215,21022,430,0.03213843004087396,1.0,1.0,,,
216,21120,432,0.042220290496934466,0.5,0.9166666666666666,,,
217,21234,434,0.037470408217247626,0.5,0.9166666666666666,0.054570638428473706,0.5,0.8333333333333334
218,21348,436,0.04494510617356614,0.5,0.9166666666666666,,,
219,21478,438,0.026856352645058902,1.0,1.0,,,
220,21560,440,0.03751830153075207,1.0,1.0,,,
221,21674,442,0.041426008283447766,0.5,0.9166666666666666,,,
222,21724,444,0.02997353666099419,1.0,1.0,,,
223,21806,446,0.08502510289840212,0.0,0.6666666666666666,,,
224,21904,448,0.03264635388939799,1.0,1.0,,,
225,22002,450,0.05804639719814683,0.5,0.8333333333333334,0.049982620865111474,0.0,0.6666666666666666
226,22100,452,0.0477400517295761,0.5,0.8333333333333334,,,
227,22358,454,0.029816918208166503,0.0,0.75,,,
228,22456,456,0.04963679597829318,0.5,0.8333333333333334,,,
229,22538,458,0.041032647674357575,1.0,1.0,,,
230,22604,460,0.07396862991637135,0.0,0.8333333333333334,,,
231,22654,462,0.050247501319108774,0.5,0.9166666666666666,,,
232,22752,464,0.05744881201170907,0.5,0.8333333333333334,,,
233,22834,466,0.02713881462878635,1.0,1.0,0.040020832150987964,0.5,0.9166666666666666
234,23076,468,0.021355182134973193,0.0,0.8333333333333334,,,
235,23158,470,0.04986791370994342,0.5,0.9166666666666666,,,
236,23224,472,0.039452637019508074,1.0,1.0,,,
237,23306,474,0.042493093205748664,1.0,1.0,,,
238,23372,476,0.07386209140820597,0.0,0.8333333333333334,,,
239,23518,478,0.027338370502393447,0.5,0.9166666666666666,,,
240,23600,480,0.0841944969974238,0.5,0.8333333333333334,,,
241,23666,482,0.07457558326101804,0.5,0.9166666666666666,0.06783247756140061,0.5,0.9166666666666666
242,23748,484,0.0737675918129412,0.5,0.8333333333333334,,,
243,23926,486,0.03367457613480796,1.0,1.0,,,
244,24008,488,0.05882189153382865,0.0,0.8333333333333334,,,
245,24106,490,0.035993133555481054,0.5,0.9166666666666666,,,
246,24204,492,0.11636092379281915,0.5,0.8333333333333334,,,
247,24350,494,0.04148426740704811,0.0,0.8333333333333334,,,
248,24480,496,0.08297298270590317,0.0,0.75,,,
249,24546,498,0.044820908670291426,1.0,1.0,0.045911702967271595,0.0,0.8333333333333334
250,24676,500,0.03814260248581576,0.5,0.8333333333333334,,,
251,24790,502,0.03377671438904989,0.5,0.9166666666666666,,,
252,24888,504,0.05676410957662673,0.5,0.8333333333333334,,,
253,24970,506,0.03687264711372518,1.0,1.0,,,
254,25036,508,0.0635410827941422,0.5,0.8333333333333334,,,
255,25118,510,0.03424098174642405,1.0,1.0,,,
256,25200,512,0.0534892405598439,0.5,0.9166666666666666,,,
257,25282,514,0.05881297779185797,0.5,0.9166666666666666,0.03629503987045928,1.0,1.0
258,25348,516,0.1102030313513285,0.0,0.6666666666666666,,,
259,25398,518,0.09024348905898477,0.5,0.8333333333333334,,,
260,25496,520,0.04108966972472142,0.5,0.9166666666666666,,,
261,25594,522,0.03849040559061601,1.0,1.0,,,
262,25676,524,0.04793024204157701,0.0,0.8333333333333334,,,
263,25758,526,0.0566800496458818,0.0,0.8333333333333334,,,
264,25824,528,0.05375008050272072,0.0,0.8333333333333334,,,
265,25954,530,0.03618861165943031,0.5,0.9166666666666666,0.05462548359284483,1.0,1.0
266,26132,532,0.0375197540079303,0.0,0.8333333333333334,,,
267,26230,534,0.05171444877364593,0.5,0.9166666666666666,,,
268,26344,536,0.04516026485527488,0.0,0.8333333333333334,,,
269,26394,538,0.08883497552564827,0.0,0.75,,,
270,26492,540,0.05885235059086578,0.0,0.75,,,
271,26574,542,0.04754894026727925,0.5,0.9166666666666666,,,
272,26656,544,0.04145749387463729,0.5,0.9166666666666666,,,
273,26738,546,0.041660490456748446,1.0,1.0,0.06763104958782422,0.5,0.8333333333333334
274,26884,548,0.02575341390736867,1.0,1.0,,,
275,26966,550,0.05858717954765598,0.5,0.8333333333333334,,,
276,27048,552,0.046194176958986644,0.5,0.9166666666666666,,,
277,27146,554,0.0491850898341761,0.0,0.75,,,
278,27228,556,0.04121159718760464,0.5,0.9166666666666666,,,
279,27294,558,0.046379521986552846,0.5,0.9166666666666666,,,
280,27360,560,0.0445180931017444,0.5,0.9166666666666666,,,
281,27474,562,0.03934131240651563,0.5,0.9166666666666666,0.04957900154943673,0.5,0.9166666666666666
282,27588,564,0.043306825279140475,0.0,0.8333333333333334,,,
283,27670,566,0.05817645611661557,0.5,0.8333333333333334,,,
284,27752,568,0.048067786360820264,1.0,1.0,,,
285,27834,570,0.03979138338059056,0.5,0.9166666666666666,,,
286,27932,572,0.04611916814262277,1.0,1.0,,,
287,28030,574,0.056775789079384825,0.5,0.9166666666666666,,,
288,28112,576,0.0436529600276076,0.5,0.9166666666666666,,,
289,28226,578,0.045351006348576646,0.5,0.9166666666666666,0.03722611930529372,0.5,0.9166666666666666
290,28308,580,0.06418782704142087,0.5,0.9166666666666666,,,
291,28470,582,0.04053526603405794,0.0,0.8333333333333334,,,
292,28536,584,0.0708175255863074,0.0,0.8333333333333334,,,
293,28602,586,0.05179456235128157,0.0,0.8333333333333334,,,
294,28700,588,0.03252462604076385,0.5,0.9166666666666666,,,
295,28766,590,0.059414063548904106,0.5,0.9166666666666666,,,
296,28832,592,0.04225790308329785,0.5,0.9166666666666666,,,
297,28914,594,0.04409075774343774,0.5,0.9166666666666666,0.04741891138777646,0.5,0.9166666666666666
298,29012,596,0.08538559406002756,0.5,0.8333333333333334,,,
299,29142,598,0.03493118588833738,0.5,0.9166666666666666,,,
300,29224,600,0.04270964006836073,0.5,0.9166666666666666,,,
301,29290,602,0.045874457670679464,1.0,1.0,,,
302,29372,604,0.029784210190679682,1.0,1.0,,,
303,29438,606,0.03272808293047035,1.0,1.0,,,
304,29520,608,0.03348884092905541,1.0,1.0,,,
305,29634,610,0.03367486278128613,1.0,1.0,0.05585431072480447,0.5,0.9166666666666666
306,29732,612,0.04950123706578324,0.0,0.8333333333333334,,,
307,29814,614,0.06234535915986748,0.5,0.8333333333333334,,,
308,29912,616,0.02793923655129295,1.0,1.0,,,
309,29978,618,0.05381378419412386,0.5,0.9166666666666666,,,
310,30108,620,0.04731452741859812,0.5,0.8333333333333334,,,
311,30158,622,0.042931953633187726,0.5,0.9166666666666666,,,
312,30240,624,0.05325169847848225,0.0,0.8333333333333334,,,
313,30370,626,0.05215340934831034,0.0,0.75,0.03748891978533407,1.0,1.0
314,30436,628,0.030520445339203662,1.0,1.0,,,
315,30518,630,0.043815928690320104,0.5,0.9166666666666666,,,
316,30600,632,0.04099054605798028,0.0,0.8333333333333334,,,
317,30698,634,0.03198068776369364,1.0,1.0,,,
318,30780,636,0.03876982243639958,1.0,1.0,,,
319,30894,638,0.04866486174750378,0.0,0.75,,,
320,30992,640,0.046714506938186844,0.5,0.9166666666666666,,,
321,31138,642,0.04582124816371144,0.5,0.9166666666666666,0.04197574737337763,0.5,0.9166666666666666
322,31204,644,0.03391494197935849,1.0,1.0,,,
323,31286,646,0.029536662355772902,1.0,1.0,,,
324,31336,648,0.027760154912707974,1.0,1.0,,,
325,31418,650,0.07399588419907155,0.0,0.75,,,
326,31484,652,0.03799390502574411,1.0,1.0,,,
327,31582,654,0.05052751217643741,0.5,0.8333333333333334,,,
328,31728,656,0.03960646566085229,0.5,0.9166666666666666,,,
329,31810,658,0.02197478401780171,1.0,1.0,0.03317012277059589,1.0,1.0
330,31892,660,0.036844603445515364,1.0,1.0,,,
331,32038,662,0.038657850394086875,0.5,0.9166666666666666,,,
332,32136,664,0.04713568505194255,0.5,0.9166666666666666,,,
333,32218,666,0.034010799888230844,0.5,0.9166666666666666,,,
334,32300,668,0.04737685665784719,0.5,0.9166666666666666,,,
335,32382,670,0.02910912278784693,1.0,1.0,,,
336,32480,672,0.038227617170057425,0.5,0.9166666666666666,,,
337,32578,674,0.04661309167409333,1.0,1.0,0.053000026302532956,0.5,0.8333333333333334
338,32644,676,0.05720776883309916,0.0,0.8333333333333334,,,
339,33158,678,0.015456992797942838,1.0,1.0,,,
340,33256,680,0.03379719452096498,0.5,0.9166666666666666,,,
341,33338,682,0.058487328973516474,0.0,0.8333333333333334,,,
342,33436,684,0.06619617487282782,0.5,0.9166666666666666,,,
343,33518,686,0.08972242871320947,0.0,0.75,,,
344,33584,688,0.07382329791106328,0.5,0.8333333333333334,,,
345,33826,690,0.02327158530742173,0.5,0.9166666666666666,0.03121687491512691,0.5,0.9166666666666666
346,33924,692,0.04992704739048153,0.5,0.9166666666666666,,,
347,34022,694,0.030510006579223845,0.5,0.9166666666666666,,,
348,34136,696,0.11429947493741684,0.0,0.75,,,
349,34218,698,0.04099582527083444,0.0,0.8333333333333334,,,
350,34396,700,0.031063850998317502,0.5,0.9166666666666666,,,
351,34494,702,0.024494295081672137,1.0,1.0,,,
352,34544,704,0.07879854881488883,0.0,0.8333333333333334,,,
353,34658,706,0.03325264879220933,0.5,0.9166666666666666,0.032442852882874525,1.0,1.0
354,34772,708,0.0546112996655149,0.0,0.75,,,
355,34870,710,0.030583680480633955,1.0,1.0,,,
356,34952,712,0.0422682978344701,0.5,0.9166666666666666,,,
357,35034,714,0.030613709781870734,1.0,1.0,,,
358,35084,716,0.062018109697012276,0.5,0.9166666666666666,,,
359,35166,718,0.06495249552969017,0.0,0.8333333333333334,,,
360,35248,720,0.06423146413957398,0.5,0.8333333333333334,,,
361,35346,722,0.04449722042676513,0.0,0.8333333333333334,0.03524860464990206,0.5,0.8333333333333334
362,35428,724,0.052385373059032646,0.5,0.9166666666666666,,,
363,35494,726,0.06084630066552534,0.5,0.9166666666666666,,,
364,35592,728,0.03687378017154666,1.0,1.0,,,
365,35658,730,0.04417051191610824,0.5,0.9166666666666666,,,
366,35772,732,0.05149083511208768,0.0,0.8333333333333334,,,
367,35870,734,0.059378442087748916,0.0,0.8333333333333334,,,
368,35984,736,0.03015295742859637,1.0,1.0,,,
369,36098,738,0.04232596427855501,0.5,0.9166666666666666,0.028016435596437073,1.0,1.0
370,36324,740,0.021874233666206756,1.0,1.0,,,
371,36422,742,0.04217919868723432,0.5,0.9166666666666666,,,
372,36488,744,0.048723103048531585,0.5,0.8333333333333334,,,
373,36570,746,0.024379372348657856,1.0,1.0,,,
374,36652,748,0.04079275138131015,0.5,0.8333333333333334,,,
375,36734,750,0.05887873077281983,0.5,0.8333333333333334,,,
376,36880,752,0.04653821663312203,0.5,0.9166666666666666,,,
377,36962,754,0.04116566808744756,0.5,0.9166666666666666,0.04891412662096248,1.0,1.0
378,37028,756,0.06874527506506412,0.0,0.8333333333333334,,,
379,37126,758,0.04345083682303539,0.5,0.9166666666666666,,,
380,37208,760,0.058061267557543025,1.0,1.0,,,
381,37578,762,0.018545464167239557,1.0,1.0,,,
382,37644,764,0.05106120006199546,0.5,0.9166666666666666,,,
383,37742,766,0.017076431422666096,1.0,1.0,,,
384,37840,768,0.046847458179865194,0.5,0.9166666666666666,,,
385,37922,770,0.05099291496187924,1.0,1.0,0.022293726309281964,1.0,1.0
386,37972,772,0.07464425229663069,0.5,0.9166666666666666,,,
387,38102,774,0.04858048983811841,0.0,0.8333333333333334,,,
388,38184,776,0.030923535159334277,1.0,1.0,,,
389,38346,778,0.030564460282884516,0.0,0.8333333333333334,,,
390,38428,780,0.05375863809780958,0.0,0.8333333333333334,,,
391,38526,782,0.04284383920851572,0.5,0.9166666666666666,,,
392,38640,784,0.09191221869935752,0.0,0.75,,,
393,38738,786,0.04273125406444587,1.0,1.0,0.028303426206360505,0.5,0.9166666666666666
394,38852,788,0.035812957619154165,0.5,0.9166666666666666,,,
395,38998,790,0.03907738847697431,0.5,0.9166666666666666,,,
396,39096,792,0.05461158198268473,0.5,0.8333333333333334,,,
397,39226,794,0.05430054280790671,0.5,0.8333333333333334,,,
398,39356,796,0.04953537150290571,0.5,0.8333333333333334,,,
399,39438,798,0.040381743485439985,0.5,0.9166666666666666,,,
400,39536,800,0.059331297688289236,0.5,0.8333333333333334,,,
401,39602,802,0.034478659593908674,1.0,1.0,0.03774954451495773,0.5,0.9166666666666666
402,39668,804,0.06217595763689872,0.5,0.9166666666666666,,,
403,39750,806,0.031626484731432356,1.0,1.0,,,
404,39864,808,0.01739985646017203,1.0,1.0,,,
405,39946,810,0.0371313024962892,0.5,0.9166666666666666,,,
406,40028,812,0.051427940409603135,0.5,0.9166666666666666,,,
407,40110,814,0.04485644677991195,1.0,1.0,,,
408,40176,816,0.09524458720401072,0.5,0.9166666666666666,,,
409,40290,818,0.05311152543807144,0.5,0.8333333333333334,0.03356838903952893,1.0,1.0
410,40356,820,0.0669323411099299,0.5,0.8333333333333334,,,
411,40422,822,0.06946605347932859,0.5,0.8333333333333334,,,
412,40520,824,0.03470054015080772,1.0,1.0,,,
413,40570,826,0.04916500535712733,0.5,0.9166666666666666,,,
414,40668,828,0.023769977779949537,1.0,1.0,,,
415,40750,830,0.02303381988099181,1.0,1.0,,,
416,40832,832,0.03429157196527831,1.0,1.0,,,
417,40914,834,0.05837163975673047,0.0,0.8333333333333334,0.060074326590137395,0.5,0.9166666666666666
418,41012,836,0.04416739720486399,0.5,0.9166666666666666,,,
419,41126,838,0.02941970893679289,1.0,1.0,,,
420,41176,840,0.0446933725099412,1.0,1.0,,,
421,41258,842,0.046814840978759556,0.5,0.9166666666666666,,,
422,41356,844,0.044729750228781874,0.5,0.9166666666666666,,,
423,41454,846,0.04029489623238419,0.5,0.9166666666666666,,,
424,41552,848,0.05057652071976728,0.5,0.9166666666666666,,,
