step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
69,6394,138,0.04755851730398717,0.5,0.5,,,,,,,,,
70,6508,140,0.03747617113194013,0.5,0.5,,,,,,,,,
71,6622,142,0.03417236200594094,1.0,1.0,,,,,,,,,
72,6688,144,0.043869588651286914,0.5,0.5,,,,,,,,,
73,6754,146,0.05065306110365782,0.0,0.0,0.0437160808009794,0.5,0.5,,,,,,
74,6804,148,0.05804323004519878,0.5,0.5,,,,,,,,,
75,6870,150,0.055248818085092355,0.5,0.5,,,,,,,,,
76,6952,152,0.04142152915557381,0.5,0.5,,,,,,,,,
77,7050,154,0.03310990446378128,0.5,0.5,,,,,,,,,
78,7132,156,0.03064047207636759,1.0,1.0,,,,,,,,,
79,7278,158,0.03219250334759838,0.5,0.5,,,,,,,,,
80,7376,160,0.040909297761002876,0.5,0.5,,,,,,,,,
81,7490,162,0.03954843091725447,0.5,0.5,0.03276246500471773,1.0,1.0,,,,,,
82,7572,164,0.04302995456149802,0.5,0.5,,,,,,,,,
83,7670,166,0.037813566274574745,1.0,1.0,,,,,,,,,
84,7720,168,0.04352816965120534,0.5,0.5,,,,,,,,,
85,7786,170,0.0421815624392184,0.5,0.5,,,,,,,,,
86,7868,172,0.04488332440564409,0.5,0.5,,,,,,,,,
87,8094,174,0.021295577493287313,1.0,1.0,,,,,,,,,
88,8144,176,0.04262295445854155,1.0,1.0,,,,,,,,,
89,8274,178,0.028932455281428703,1.0,1.0,0.027280293169897052,1.0,1.0,,,,,,
90,8420,180,0.04391780842878184,0.0,0.0,,,,,,,,,
91,8502,182,0.035711296369670895,1.0,1.0,,,,,,,,,
92,8568,184,0.04675125709269196,1.0,1.0,,,,,,,,,
93,8618,186,0.03976194003674513,1.0,1.0,,,,,,,,,
94,8668,188,0.0525088310870342,0.5,0.5,,,,,,,,,
95,8750,190,0.050993837937014175,0.0,0.0,,,,,,,,,
96,8832,192,0.03455180766247213,1.0,1.0,,,,,,,,,
97,8914,194,0.025005326082231476,1.0,1.0,0.034260096608278605,0.5,0.5,,,,,,
98,8980,196,0.058790666279965084,0.5,0.5,,,,,,,,,
99,9078,198,0.023667721938254546,1.0,1.0,,,,,,,,,
100,9128,200,0.04509351985820104,1.0,1.0,,,,,,,,,
101,9194,202,0.024940082620669275,1.0,1.0,,,,,,,,,
102,9292,204,0.044414522289735026,0.5,0.5,,,,,,,,,
